,Target,AGE,S1,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Ward,AcornTypeCode,Q3_Full-Time Student,Q3_Registered Unemployed (Job Seeker's Allowance),Q3_Retired,Q3_Unemployed due to ill health,"Q3_Unemployed, Not Registered-Seeking Work",Q3_Working - Full Time (30+ HRS),Q3_Working - Part Time (8 - 29 HRS),Q4_(Refused),Q4_Any - Other White background (type in),Q4_Asian or Asian British - Any other Asian Background (type in),Q4_Asian or Asian British - Bangladeshi,Q4_Asian or Asian British - Chinese ,Q4_Asian or Asian British - Indian,Q4_Asian or Asian British - Pakistani,Q4_Black or Black British -  Caribbean,Q4_Black or Black British - African ,Q4_Black or Black British - Any other black background (type in),Q4_Mixed - White and Black - African,Q4_Mixed - White and Black - Caribbean,Q4_Other Ethnic groups - Any other background (type in),Q4_Other Ethnic groups - Arab,Q4_White - Eastern European  (type in),Q4_White - Irish,Q4_White - Western European,Number of Council Services accessed,Information about public services,Q12 Online,Q12 Offline,Usefulness of offline publication,Q22_Live Here Rent Free,Q22_Owns Outright,Q22_Owns With A Mortgage Or Loan,Q22_Part Owns And Part Rents (shared Ownership),Q22_Rents (With Or Without Housing Benefit),Q22_Rents A Room In A Shared Property,Financial Worry
66,0.0,47.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2,2.0,0.0,0.0,3,10,10,9,1,1.0,1.0,1.0,1.0,1.0,9.0,6.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.75,1.0,1.0,3.0,0,1,0,0,0,0,0.0
67,0.0,66.0,1.0,5.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,1,4.0,0.0,0.0,3,10,10,10,10,1.0,1.0,1.0,1.0,1.0,9.0,6.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,0.0
68,0.0,74.0,1.0,2.0,2.0,,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2,2.0,0.0,0.0,3,9,9,9,1,1.0,1.0,1.0,1.0,1.0,9.0,6.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.75,0.0,2.0,3.0,0,1,0,0,0,0,0.0
69,0.0,35.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0,4.0,2,2.0,0.0,0.0,3,10,10,10,3,1.0,1.0,1.0,1.0,0.0,,6.0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,1.0,2.0,0,0,0,0,1,0,0.0
70,0.0,55.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2,1.0,0.0,0.0,3,9,9,9,1,1.0,1.0,1.0,1.0,1.0,9.0,6.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,1.0,1.0,1.0,0,1,0,0,0,0,0.0
71,0.0,48.0,0.0,3.0,3.0,,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4,3.0,0.0,0.0,3,6,6,6,6,2.0,2.0,2.0,1.0,1.0,9.0,6.0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.8,4.0,1.0,2.0,0,0,0,0,1,0,5.0
72,0.0,41.0,0.0,4.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2,4.0,2.0,0.0,3,10,10,9,3,1.0,1.0,1.0,1.0,1.0,9.0,6.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,2.0,2.0,2.0,0,1,0,0,0,0,0.0
73,0.0,50.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,2,3.0,1.0,0.0,3,10,10,10,1,1.0,1.0,1.0,1.0,0.0,6.0,6.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.6,0.0,2.0,2.0,0,0,0,0,1,0,0.0
74,0.0,17.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,6,3.0,2.0,1.0,3,12,12,12,12,,,,1.0,1.0,9.0,6.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,2.0,0.0,0.0,,1,0,0,0,0,0,0.0
75,0.0,47.0,0.0,2.0,3.0,,3.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,1,3.0,1.0,0.0,3,10,10,9,2,1.0,1.0,1.0,1.0,1.0,9.0,6.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,1.0,1.0,2.0,0,1,0,0,0,0,0.0
76,0.0,36.0,0.0,4.0,4.0,,4.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2,4.0,2.0,0.0,3,9,9,9,1,1.0,1.0,1.0,1.0,0.0,3.0,6.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4.0,1.0,0.0,,0,0,1,0,0,0,0.0
78,0.0,,0.0,4.0,4.0,,,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2,2.0,0.0,0.0,3,7,8,8,5,1.0,1.0,1.0,1.0,1.0,8.0,6.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3.6666666666666665,1.0,1.0,2.0,0,1,0,0,0,0,0.0
79,0.0,,0.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,8.0,,6,,,,3,7,7,7,7,1.0,1.0,1.0,1.0,1.0,9.0,6.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.6,0.0,1.0,3.0,0,1,0,0,0,0,0.0
80,0.0,48.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2,2.0,2.0,0.0,3,8,9,7,3,1.0,1.0,1.0,1.0,1.0,9.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,1.0,1.0,1.0,0,1,0,0,0,0,2.0
81,0.0,40.0,1.0,2.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2,2.0,0.0,0.0,3,10,9,7,2,1.0,1.0,1.0,1.0,1.0,7.0,1.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2.0,0.0,1.0,1.0,0,0,0,0,1,0,0.0
82,0.0,23.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2,2.0,0.0,0.0,3,10,8,8,3,1.0,1.0,1.0,1.0,1.0,9.0,1.0,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,1.0,2.0,0,0,0,0,1,0,2.0
83,0.0,24.0,1.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2,3.0,1.0,0.0,3,8,9,11,3,1.0,2.0,1.0,1.0,1.0,9.0,1.0,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.6,0.0,1.0,2.0,0,1,0,0,0,0,0.0
84,0.0,47.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2,3.0,1.0,0.0,3,10,7,9,3,2.0,1.0,1.0,1.0,1.0,8.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,0.0,1.0,2.0,0,0,0,1,0,0,2.0
85,0.0,24.0,0.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2,24.0,1.0,0.0,3,10,8,8,3,2.0,1.0,1.0,1.0,1.0,9.0,1.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,1.0,2.0,0,1,0,0,0,0,0.0
86,0.0,37.0,0.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,2,1.0,0.0,0.0,3,9,9,10,4,1.0,2.0,1.0,1.0,1.0,9.0,1.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.6,0.0,1.0,2.0,0,0,0,0,0,1,3.0
87,0.0,38.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2,2.0,0.0,0.0,3,10,7,9,6,2.0,2.0,1.0,1.0,1.0,9.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,1.0,0.0,,0,0,1,0,0,0,2.0
88,0.0,65.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2,4.0,2.0,0.0,3,9,9,8,2,1.0,1.0,1.0,1.0,1.0,9.0,1.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.6,0.0,2.0,1.5,0,0,1,0,0,0,1.0
89,0.0,47.0,1.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3,3.0,1.0,0.0,1,8,9,8,4,1.0,1.0,1.0,1.0,1.0,7.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2.0,0.0,1.0,2.0,0,0,0,0,1,0,3.0
90,0.0,44.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,3,4.0,2.0,0.0,3,10,8,8,5,1.0,2.0,1.0,1.0,0.0,7.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.8,1.0,1.0,2.0,0,0,0,1,0,0,0.0
91,0.0,39.0,0.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2,4.0,2.0,0.0,3,9,8,8,4,1.0,1.0,1.0,1.0,0.0,6.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,2.0,0.0,1.0,2.0,0,0,0,0,0,1,2.0
92,0.0,55.0,0.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,2,2.0,1.0,0.0,3,9,8,9,5,1.0,1.0,1.0,1.0,1.0,9.0,1.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,2.0
93,0.0,37.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2,4.0,2.0,0.0,3,10,9,8,3,1.0,1.0,1.0,1.0,1.0,7.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,0.0
94,0.0,37.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,3,3.0,0.0,1.0,3,10,9,8,6,1.0,1.0,1.0,1.0,0.0,6.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,2.2,0.0,1.0,2.0,0,0,0,0,0,1,4.0
95,0.0,39.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2,3.0,1.0,0.0,3,9,9,8,3,1.0,1.0,1.0,1.0,1.0,9.0,1.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.6,0.0,1.0,2.0,0,0,1,0,0,0,1.0
96,0.0,,1.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,5.0,5.0,1.0,2.0,3.0,1,1.0,0.0,0.0,3,8,8,7,8,2.0,2.0,1.0,1.0,0.0,8.0,6.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.4,0.0,0.0,,0,0,0,0,1,0,0.0
97,0.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,1.0,2.0,3,2.0,0.0,0.0,3,10,9,8,6,3.0,3.0,3.0,1.0,1.0,9.0,6.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,0.0,2.0,1.0,0,1,0,0,0,0,0.0
98,0.0,39.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1,2.0,0.0,0.0,3,10,9,8,2,1.0,1.0,1.0,1.0,0.0,7.0,6.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,0.0,1.0,2.0,0,0,0,0,1,0,0.0
99,0.0,22.0,0.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,5.0,5.0,4.0,1.0,,3,2.0,0.0,0.0,3,5,6,6,8,2.0,2.0,2.0,0.0,1.0,9.0,6.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.25,0.0,0.0,,0,0,0,0,1,0,1.0
100,1.0,81.0,1.0,2.0,2.0,,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3,2.0,0.0,0.0,3,9,9,9,2,1.0,1.0,1.0,1.0,1.0,9.0,6.0,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0.0,2.0,1.0,0,0,0,0,1,0,0.0
101,0.0,,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,0.0,0.0,3,9,9,8,3,1.0,1.0,1.0,1.0,1.0,9.0,6.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,2.0,2.0,0,0,0,0,1,0,0.0
102,0.0,36.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,3.0,1.0,0.0,3,10,10,8,2,1.0,1.0,1.0,1.0,1.0,9.0,6.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,2.0,1.0,0,0,0,1,0,0,0.0
103,0.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,4.0,2.0,0.0,3,10,10,9,3,1.0,1.0,1.0,1.0,0.0,8.0,6.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,0.0,0.0,,0,1,0,0,0,0,0.0
104,0.0,,0.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,3,1.0,0.0,0.0,3,10,10,10,4,3.0,3.0,2.0,1.0,1.0,9.0,7.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.8,1.0,1.0,1.0,0,0,0,1,0,0,0.0
105,0.0,,1.0,4.0,5.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,2.0,1.0,3,2.0,0.0,0.0,3,11,11,10,6,1.0,1.0,1.0,1.0,1.0,8.0,7.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.8,0.0,3.0,1.0,0,0,0,0,1,0,0.0
106,0.0,,1.0,4.0,4.0,4.0,3.0,,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2,2.0,,0.0,3,10,10,10,6,2.0,2.0,1.0,1.0,1.0,9.0,7.0,54.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,0.0
107,0.0,,1.0,4.0,4.0,,4.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,4,1.0,,1.0,3,10,10,10,4,2.0,1.0,2.0,1.0,0.0,8.0,7.0,17.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,3.0
108,0.0,,0.0,5.0,5.0,4.0,4.0,,4.0,5.0,4.0,5.0,5.0,2.0,2.0,4,1.0,0.0,0.0,3,8,7,7,6,2.0,2.0,1.0,1.0,1.0,9.0,7.0,17.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,5.0
109,0.0,,0.0,5.0,4.0,,5.0,,3.0,4.0,3.0,4.0,4.0,1.0,2.0,3,4.0,2.0,0.0,3,9,9,9,6,1.0,1.0,1.0,1.0,0.0,,7.0,53.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4,0.0,1.0,2.0,0,0,0,0,1,0,3.0
110,0.0,,0.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,1,1.0,,0.0,3,10,10,11,2,1.0,1.0,1.0,1.0,1.0,9.0,7.0,53.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.2,0.0,1.0,2.0,0,1,0,0,0,0,0.0
111,0.0,28.0,0.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,4.0,4.0,2.0,2.0,3,2.0,,0.0,3,9,9,9,6,1.0,1.0,1.0,0.0,1.0,9.0,7.0,53.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,0.0
112,0.0,,0.0,5.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2,1.0,0.0,0.0,3,10,10,9,5,1.0,2.0,1.0,1.0,1.0,9.0,7.0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.8,0.0,1.0,3.0,0,0,0,0,1,0,5.0
113,0.0,,1.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,1,3.0,0.0,0.0,3,10,10,10,3,1.0,1.0,1.0,1.0,1.0,9.0,7.0,53.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.6,0.0,2.0,1.5,0,0,1,0,0,0,0.0
114,0.0,61.0,0.0,4.0,3.0,,4.0,,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2,2.0,,0.0,3,11,10,10,5,2.0,2.0,2.0,1.0,1.0,9.0,7.0,53.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,2.0,2.0,0,1,0,0,0,0,0.0
115,0.0,,1.0,4.0,4.0,3.0,4.0,,3.0,4.0,3.0,4.0,4.0,2.0,1.0,2,2.0,0.0,0.0,3,11,11,11,6,2.0,1.0,2.0,1.0,1.0,9.0,7.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.2,1.0,0.0,,0,0,0,0,1,0,0.0
116,0.0,,1.0,4.0,5.0,3.0,4.0,,3.0,4.0,4.0,3.0,4.0,2.0,2.0,3,2.0,0.0,0.0,3,11,11,11,1,1.0,1.0,1.0,1.0,1.0,9.0,7.0,17.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.0,,0,0,0,1,0,0,0.0
117,0.0,,1.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,3,4.0,,0.0,3,10,10,10,4,2.0,1.0,2.0,1.0,1.0,9.0,7.0,53.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.8,0.0,1.0,1.0,0,0,1,0,0,0,0.0
118,0.0,,1.0,3.0,4.0,,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,3,1.0,0.0,0.0,3,11,10,10,5,2.0,2.0,2.0,1.0,1.0,8.0,7.0,17.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,1.8,0.0,1.0,2.0,0,0,0,0,1,0,2.0
119,1.0,,1.0,5.0,5.0,,5.0,,5.0,5.0,4.0,5.0,4.0,2.0,2.0,5,2.0,,,2,6,7,7,9,1.0,3.0,3.0,1.0,1.0,8.0,7.0,53.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,3.0,0.0,1.0,2.0,0,1,0,0,0,0,5.0
120,0.0,51.0,0.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2,3.0,2.0,1.0,3,9,8,9,6,2.0,1.0,1.0,1.0,1.0,5.0,8.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.75,0.0,1.0,2.0,0,0,1,0,0,0,1.0
121,0.0,48.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,4.0,2,3.0,2.0,0.0,3,10,9,9,8,1.0,1.0,1.0,1.0,1.0,9.0,8.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.4,0.0,1.0,2.0,0,0,1,0,0,0,0.0
122,0.0,42.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,3,2.0,2.0,1.0,3,8,8,8,7,2.0,1.0,2.0,1.0,1.0,4.0,8.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,3.2,0.0,1.0,2.0,0,0,0,0,1,0,2.0
123,0.0,67.0,0.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2,2.0,0.0,0.0,3,9,9,8,9,2.0,1.0,1.0,1.0,1.0,9.0,8.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.6,0.0,1.0,2.0,0,1,0,0,0,0,0.0
124,0.0,55.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,2,4.0,1.0,0.0,3,9,10,9,9,1.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2.8,0.0,1.0,2.0,0,0,1,0,0,0,0.0
125,0.0,63.0,1.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,1.0,3.0,2,3.0,0.0,0.0,2,8,8,9,7,1.0,2.0,1.0,1.0,1.0,9.0,8.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,3.0,0.0,2.0,2.0,0,1,0,0,0,0,0.0
126,0.0,40.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,3,1.0,0.0,1.0,3,8,9,9,8,2.0,2.0,2.0,1.0,1.0,7.0,8.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,2.8,0.0,1.0,2.0,0,0,0,0,0,1,2.0
127,0.0,49.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,2,3.0,1.0,1.0,3,8,9,9,9,1.0,1.0,1.0,1.0,1.0,9.0,8.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,3.2,0.0,1.0,2.0,0,0,1,0,0,0,1.0
128,0.0,49.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,3,3.0,0.0,0.0,3,11,10,11,10,1.0,1.0,1.0,1.0,1.0,9.0,9.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,2.0,0.0,,0,0,0,0,1,0,1.0
129,0.0,24.0,0.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,2,2.0,0.0,0.0,3,11,10,11,11,1.0,1.0,1.0,1.0,1.0,6.0,9.0,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,1.0,0.0,,0,0,0,0,1,0,0.0
130,0.0,65.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3,2.0,0.0,0.0,3,11,11,11,10,2.0,2.0,2.0,1.0,1.0,9.0,9.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,1.0,1.0,3.0,0,0,0,0,1,0,0.0
131,0.0,71.0,0.0,4.0,5.0,,4.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,3,2.0,0.0,0.0,3,11,9,11,10,2.0,2.0,1.0,1.0,1.0,9.0,9.0,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,0.0,2.0,1.0,0,0,0,0,1,0,0.0
132,0.0,57.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,3,2.0,0.0,0.0,3,10,11,9,10,1.0,1.0,1.0,1.0,1.0,5.0,9.0,15.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.4,1.0,2.0,2.0,0,1,0,0,0,0,0.0
